indice_columna;campo_en_la_base
0;carga_semana
1;status
2;factura
3;productor
4;fecha_carga
5;carpeta_import
6;afidi
7;transportista
8;exportador
9;fecha_frontera
10;frontera
11;productos
12;fecha_descarga
13;tt
14;cajas_mic
15;cajas_desc
16;cant_pallet
17;cant_kilos_caja
18;codigo_viaje
20;mic
21;placa_camion
22;placa_remolque
23;chofer
24;celular
25;observaciones
